delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion
1.5,67,25,12,3,0.625,0.3,0.075
1.5,68,32,7,1,0.8,0.175,0.025
1.5,69,40,0,0,1.0,0.0,0.0
1.5,70,16,17,7,0.4,0.425,0.175
1.5,71,19,18,3,0.475,0.45,0.075
1.5,72,27,11,2,0.675,0.275,0.05
1.5,73,15,19,6,0.375,0.475,0.15
1.5,74,40,0,0,1.0,0.0,0.0
1.5,75,18,17,5,0.45,0.425,0.125
1.5,76,14,19,7,0.35,0.475,0.175
1.5,77,24,11,5,0.6,0.275,0.125
1.5,78,19,15,6,0.475,0.375,0.15
1.5,79,19,15,6,0.475,0.375,0.15
1.5,80,20,19,1,0.5,0.475,0.025
1.5,81,27,9,4,0.675,0.225,0.1
1.5,82,19,18,3,0.475,0.45,0.075
1.5,83,40,0,0,1.0,0.0,0.0
1.5,84,21,17,2,0.525,0.425,0.05
1.5,85,40,0,0,1.0,0.0,0.0
1.5,86,23,13,4,0.575,0.325,0.1
1.5,87,20,16,4,0.5,0.4,0.1
1.5,88,20,18,2,0.5,0.45,0.05
1.5,89,13,24,3,0.325,0.6,0.075
1.5,90,27,9,4,0.675,0.225,0.1
1.5,91,17,18,5,0.425,0.45,0.125
1.5,92,14,21,5,0.35,0.525,0.125
1.5,93,22,15,3,0.55,0.375,0.075
1.5,94,17,17,6,0.425,0.425,0.15
1.5,95,40,0,0,1.0,0.0,0.0
1.5,96,40,0,0,1.0,0.0,0.0
1.5,97,31,9,0,0.775,0.225,0.0
1.5,98,29,11,0,0.725,0.275,0.0
1.5,99,16,21,3,0.4,0.525,0.075
2.0,0,19,19,2,0.475,0.475,0.05
2.0,1,40,0,0,1.0,0.0,0.0
2.0,2,40,0,0,1.0,0.0,0.0
2.0,3,12,26,2,0.3,0.65,0.05
2.0,4,40,0,0,1.0,0.0,0.0
2.0,5,40,0,0,1.0,0.0,0.0
2.0,6,20,19,1,0.5,0.475,0.025
2.0,7,32,6,2,0.8,0.15,0.05
2.0,8,40,0,0,1.0,0.0,0.0
2.0,9,19,16,5,0.475,0.4,0.125
2.0,10,15,23,2,0.375,0.575,0.05
2.0,11,22,15,3,0.55,0.375,0.075
2.0,12,8,30,2,0.2,0.75,0.05
2.0,13,40,0,0,1.0,0.0,0.0
2.0,14,40,0,0,1.0,0.0,0.0
2.0,15,40,0,0,1.0,0.0,0.0
2.0,16,9,26,5,0.225,0.65,0.125
2.0,17,19,17,4,0.475,0.425,0.1
2.0,18,19,19,2,0.475,0.475,0.05
2.0,19,33,4,3,0.825,0.1,0.075
2.0,20,40,0,0,1.0,0.0,0.0
2.0,21,14,22,4,0.35,0.55,0.1
2.0,22,23,14,3,0.575,0.35,0.075
2.0,23,14,23,3,0.35,0.575,0.075
2.0,24,13,21,6,0.325,0.525,0.15
2.0,25,40,0,0,1.0,0.0,0.0
2.0,26,40,0,0,1.0,0.0,0.0
2.0,27,40,0,0,1.0,0.0,0.0
2.0,28,17,18,5,0.425,0.45,0.125
2.0,29,28,10,2,0.7,0.25,0.05
2.0,30,40,0,0,1.0,0.0,0.0
2.0,31,17,14,9,0.425,0.35,0.225
2.0,32,20,18,2,0.5,0.45,0.05
2.0,33,18,16,6,0.45,0.4,0.15
2.0,34,20,16,4,0.5,0.4,0.1
2.0,35,19,17,4,0.475,0.425,0.1
2.0,36,15,22,3,0.375,0.55,0.075
2.0,37,8,28,4,0.2,0.7,0.1
2.0,38,21,18,1,0.525,0.45,0.025
2.0,39,23,14,3,0.575,0.35,0.075
2.0,40,40,0,0,1.0,0.0,0.0
2.0,41,14,19,7,0.35,0.475,0.175
2.0,42,20,20,0,0.5,0.5,0.0
2.0,43,28,9,3,0.7,0.225,0.075
2.0,44,21,16,3,0.525,0.4,0.075
2.0,45,18,16,6,0.45,0.4,0.15
2.0,46,18,17,5,0.45,0.425,0.125
2.0,47,13,20,7,0.325,0.5,0.175
2.0,48,12,20,8,0.3,0.5,0.2
2.0,49,21,18,1,0.525,0.45,0.025
2.0,50,33,5,2,0.825,0.125,0.05
2.0,51,40,0,0,1.0,0.0,0.0
2.0,52,22,16,2,0.55,0.4,0.05
2.0,53,40,0,0,1.0,0.0,0.0
2.0,54,8,26,6,0.2,0.65,0.15
2.0,55,12,20,8,0.3,0.5,0.2
2.0,56,9,26,5,0.225,0.65,0.125
2.0,57,25,11,4,0.625,0.275,0.1
2.0,58,10,22,8,0.25,0.55,0.2
2.0,59,40,0,0,1.0,0.0,0.0
2.0,60,13,21,6,0.325,0.525,0.15
2.0,61,40,0,0,1.0,0.0,0.0
2.0,62,8,25,7,0.2,0.625,0.175
2.0,63,22,13,5,0.55,0.325,0.125
2.0,64,25,13,2,0.625,0.325,0.05
2.0,65,24,13,3,0.6,0.325,0.075
2.0,66,29,7,4,0.725,0.175,0.1
2.0,67,20,15,5,0.5,0.375,0.125
2.0,68,11,22,7,0.275,0.55,0.175
2.0,69,40,0,0,1.0,0.0,0.0
2.0,70,19,15,6,0.475,0.375,0.15
2.0,71,27,9,4,0.675,0.225,0.1
2.0,72,11,20,9,0.275,0.5,0.225
2.0,73,30,9,1,0.75,0.225,0.025
2.0,74,17,22,1,0.425,0.55,0.025
2.0,75,34,5,1,0.85,0.125,0.025
2.0,76,27,9,4,0.675,0.225,0.1
2.0,77,40,0,0,1.0,0.0,0.0
2.0,78,40,0,0,1.0,0.0,0.0
2.0,79,40,0,0,1.0,0.0,0.0
2.0,80,18,19,3,0.45,0.475,0.075
2.0,81,25,11,4,0.625,0.275,0.1
2.0,82,10,23,7,0.25,0.575,0.175
2.0,83,13,21,6,0.325,0.525,0.15
2.0,84,26,11,3,0.65,0.275,0.075
2.0,85,21,17,2,0.525,0.425,0.05
2.0,86,29,11,0,0.725,0.275,0.0
2.0,87,22,16,2,0.55,0.4,0.05
2.0,88,40,0,0,1.0,0.0,0.0
2.0,89,14,20,6,0.35,0.5,0.15
2.0,90,40,0,0,1.0,0.0,0.0
2.0,91,22,17,1,0.55,0.425,0.025
2.0,92,40,0,0,1.0,0.0,0.0
2.0,93,40,0,0,1.0,0.0,0.0
2.0,94,20,19,1,0.5,0.475,0.025
2.0,95,24,13,3,0.6,0.325,0.075
2.0,96,6,27,7,0.15,0.675,0.175
2.0,97,22,15,3,0.55,0.375,0.075
2.0,98,8,22,10,0.2,0.55,0.25
2.0,99,13,18,9,0.325,0.45,0.225
2.5,0,40,0,0,1.0,0.0,0.0
2.5,1,14,22,4,0.35,0.55,0.1
2.5,2,21,11,8,0.525,0.275,0.2
2.5,3,40,0,0,1.0,0.0,0.0
2.5,4,7,25,8,0.175,0.625,0.2
2.5,5,13,20,7,0.325,0.5,0.175
2.5,6,16,19,5,0.4,0.475,0.125
2.5,7,24,9,7,0.6,0.225,0.175
2.5,8,40,0,0,1.0,0.0,0.0
2.5,9,22,12,6,0.55,0.3,0.15
2.5,10,15,17,8,0.375,0.425,0.2
