delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
4.0,19,40,0,0,1.0,0.0,0.0,7.456945547367974
4.0,12,3,29,8,0.075,0.725,0.2,4.806313148500668
4.0,21,40,0,0,1.0,0.0,0.0,6.237390787479706
4.0,13,22,10,8,0.55,0.25,0.2,5.4934070161899795
4.0,23,40,0,0,1.0,0.0,0.0,5.841833846764245
4.0,14,13,17,10,0.325,0.425,0.25,5.428920098536093
4.0,20,11,23,6,0.275,0.575,0.15,5.816902779511723
4.0,18,6,25,9,0.15,0.625,0.225,5.228078392513393
4.0,16,12,19,9,0.3,0.475,0.225,7.613045437709678
4.0,25,23,12,5,0.575,0.3,0.125,6.335419658960788
4.0,24,27,8,5,0.675,0.2,0.125,5.627930566569836
4.0,26,13,19,8,0.325,0.475,0.2,7.715935293779985
4.0,22,15,16,9,0.375,0.4,0.225,8.314362281456544
4.0,28,20,15,5,0.5,0.375,0.125,8.206776710079634
4.0,34,20,14,6,0.5,0.35,0.15,5.019060342756929
4.0,35,31,5,4,0.775,0.125,0.1,7.261695438728253
4.0,38,40,0,0,1.0,0.0,0.0,5.83603701182516
4.0,29,19,16,5,0.475,0.4,0.125,5.455408593995683
4.0,31,18,16,6,0.45,0.4,0.15,6.226230052999868
4.0,27,9,21,10,0.225,0.525,0.25,5.745753855408995
4.0,30,8,21,11,0.2,0.525,0.275,8.730418248910823
4.0,36,15,21,4,0.375,0.525,0.1,9.038853211001825
4.0,44,40,0,0,1.0,0.0,0.0,5.0388739925041435
4.0,47,40,0,0,1.0,0.0,0.0,6.721371401584079
4.0,32,7,23,10,0.175,0.575,0.25,7.240531495865019
4.0,33,9,18,13,0.225,0.45,0.325,5.429804314614434
4.0,37,6,26,8,0.15,0.65,0.2,8.502777970891534
4.0,48,40,0,0,1.0,0.0,0.0,7.515426097723743
4.0,41,8,27,5,0.2,0.675,0.125,5.908151841427281
4.0,43,9,21,10,0.225,0.525,0.25,6.908374369725514
4.0,40,12,22,6,0.3,0.55,0.15,5.709397746045756
4.0,45,8,20,12,0.2,0.5,0.3,7.074415264903392
4.0,42,13,20,7,0.325,0.5,0.175,5.3109265270133665
4.0,39,5,19,16,0.125,0.475,0.4,5.688390589931364
4.0,46,31,5,4,0.775,0.125,0.1,6.572496048148229
4.0,49,8,25,7,0.2,0.625,0.175,5.341224964273676
4.0,52,28,4,8,0.7,0.1,0.2,6.402656812186203
4.0,51,21,13,6,0.525,0.325,0.15,5.900906632495427
4.0,54,18,12,10,0.45,0.3,0.25,6.091905224700552
4.0,53,20,12,8,0.5,0.3,0.2,6.220994931892233
4.0,50,4,30,6,0.1,0.75,0.15,5.678341773695108
4.0,56,26,13,1,0.65,0.325,0.025,5.052353107243613
4.0,57,8,24,8,0.2,0.6,0.2,8.72705739415852
4.0,58,17,19,4,0.425,0.475,0.1,6.797461115515155
4.0,60,9,22,9,0.225,0.55,0.225,5.745929038079046
4.0,55,17,14,9,0.425,0.35,0.225,8.468125902439109
4.0,59,12,20,8,0.3,0.5,0.2,7.690828635080912
4.0,69,40,0,0,1.0,0.0,0.0,5.024146874444114
4.0,61,9,25,6,0.225,0.625,0.15,6.4645719471351315
4.0,62,6,26,8,0.15,0.65,0.2,5.154887476285819
4.0,64,9,21,10,0.225,0.525,0.25,9.969983671199975
4.0,65,12,23,5,0.3,0.575,0.125,8.88013830370792
4.0,63,11,23,6,0.275,0.575,0.15,9.713230247079546
4.0,66,10,20,10,0.25,0.5,0.25,5.05060444261604
4.0,67,14,19,7,0.35,0.475,0.175,5.788014832255553
4.0,71,3,25,12,0.075,0.625,0.3,5.72147441903706
4.0,70,18,13,9,0.45,0.325,0.225,9.7763342720309
4.0,68,6,23,11,0.15,0.575,0.275,4.549534142548728
4.0,76,31,4,5,0.775,0.1,0.125,5.013841485084008
4.0,73,12,18,10,0.3,0.45,0.25,5.555406802907996
4.0,72,12,16,12,0.3,0.4,0.3,5.212874110238163
4.0,75,6,26,8,0.15,0.65,0.2,5.7440237256057305
4.0,85,40,0,0,1.0,0.0,0.0,5.947605950164072
4.0,74,5,24,11,0.125,0.6,0.275,10.181132077980223
4.0,77,6,22,12,0.15,0.55,0.3,7.542194837725432
4.0,83,4,17,19,0.1,0.425,0.475,7.566803636613533
4.0,78,14,12,14,0.35,0.3,0.35,5.788571252766384
4.0,82,17,20,3,0.425,0.5,0.075,5.52357162333656
4.0,84,7,22,11,0.175,0.55,0.275,6.011467347480359
4.0,81,7,22,11,0.175,0.55,0.275,5.032202270669292
4.0,86,29,9,2,0.725,0.225,0.05,10.485522967944657
4.0,79,2,30,8,0.05,0.75,0.2,5.761632101642392
4.0,80,13,14,13,0.325,0.35,0.325,7.451845681922421
4.0,92,40,0,0,1.0,0.0,0.0,5.631677420616779
4.0,87,20,14,6,0.5,0.35,0.15,4.938017898742666
4.0,97,40,0,0,1.0,0.0,0.0,6.680926740572994
4.0,88,11,20,9,0.275,0.5,0.225,5.366608405851093
4.0,89,16,17,7,0.4,0.425,0.175,5.729559676660494
4.0,90,14,16,10,0.35,0.4,0.25,5.754833091775028
4.0,91,9,20,11,0.225,0.5,0.275,4.960094062027982
4.0,95,19,19,2,0.475,0.475,0.05,5.538098477529578
4.0,96,20,14,6,0.5,0.35,0.15,7.191158747094169
4.0,94,14,15,11,0.35,0.375,0.275,5.0191666256617555
4.0,98,14,25,1,0.35,0.625,0.025,9.76592320236514
4.0,99,6,23,11,0.15,0.575,0.275,7.293352122176287
4.0,93,5,23,12,0.125,0.575,0.3,6.174139644111486
4.0,100,14,21,5,0.35,0.525,0.125,5.954602440156464
4.0,103,16,18,6,0.4,0.45,0.15,4.932135296568308
4.0,102,40,0,0,1.0,0.0,0.0,6.353757769193682
4.0,104,21,13,6,0.525,0.325,0.15,5.687692287049659
4.0,107,36,1,3,0.9,0.025,0.075,6.286492169460798
4.0,106,20,11,9,0.5,0.275,0.225,5.840189891968114
4.0,115,40,0,0,1.0,0.0,0.0,5.4590241010314156
4.0,105,9,26,5,0.225,0.65,0.125,5.767435401909061
4.0,101,5,21,14,0.125,0.525,0.35,7.502564860511799
4.0,117,40,0,0,1.0,0.0,0.0,6.387733400330113
4.0,110,14,22,4,0.35,0.55,0.1,5.970303432846067
4.0,112,14,21,5,0.35,0.525,0.125,5.763178548464703
4.0,108,7,26,7,0.175,0.65,0.175,11.06710404125992
4.0,114,11,18,11,0.275,0.45,0.275,5.949381751120985
4.0,109,13,13,14,0.325,0.325,0.35,7.662822107196641
4.0,111,9,25,6,0.225,0.625,0.15,5.563376383077282
4.0,119,24,11,5,0.6,0.275,0.125,7.4044030981387206
4.0,116,17,17,6,0.425,0.425,0.15,5.38113355188556
4.0,113,3,23,14,0.075,0.575,0.35,7.574713043719322
4.0,127,40,0,0,1.0,0.0,0.0,7.648704818014958
4.0,118,13,21,6,0.325,0.525,0.15,6.4243399010824715
4.0,122,15,19,6,0.375,0.475,0.15,6.91318361382705
4.0,120,11,22,7,0.275,0.55,0.175,7.433730981188964
4.0,126,12,14,14,0.3,0.35,0.35,6.038696571742025
4.0,123,8,23,9,0.2,0.575,0.225,5.079360504154243
4.0,129,24,10,6,0.6,0.25,0.15,6.5982136550595785
4.0,125,12,14,14,0.3,0.35,0.35,5.384622999500688
4.0,121,3,24,13,0.075,0.6,0.325,5.500251629534755
4.0,124,7,26,7,0.175,0.65,0.175,8.164735317146025
4.0,132,23,12,5,0.575,0.3,0.125,5.696720460021768
4.0,128,6,27,7,0.15,0.675,0.175,5.7997397340637535
4.0,136,40,0,0,1.0,0.0,0.0,5.312396542448963
4.0,130,25,8,7,0.625,0.2,0.175,5.574216966596365
4.0,138,40,0,0,1.0,0.0,0.0,5.845507894943376
4.0,133,18,18,4,0.45,0.45,0.1,5.851217532330041
4.0,134,18,16,6,0.45,0.4,0.15,7.257394254545327
4.0,131,9,17,14,0.225,0.425,0.35,5.814759017588411
4.0,146,40,0,0,1.0,0.0,0.0,5.381297096658973
4.0,137,7,23,10,0.175,0.575,0.25,7.6951231255517625
4.0,140,22,6,12,0.55,0.15,0.3,6.049601464151269
4.0,147,40,0,0,1.0,0.0,0.0,7.253720820006658
4.0,135,12,24,4,0.3,0.6,0.1,8.277726198695886
4.0,145,17,14,9,0.425,0.35,0.225,5.2854779451825
4.0,144,11,22,7,0.275,0.55,0.175,5.322812881237226
4.0,139,17,18,5,0.425,0.45,0.125,6.093481657351798
4.0,142,3,26,11,0.075,0.65,0.275,5.535794950241772
4.0,141,9,23,8,0.225,0.575,0.2,5.0552615656697775
4.0,143,7,18,15,0.175,0.45,0.375,8.110257911665114
4.0,150,11,20,9,0.275,0.5,0.225,5.256413099016287
4.0,148,9,20,11,0.225,0.5,0.275,7.159790080642708
4.0,152,16,14,10,0.4,0.35,0.25,5.698299458827577
4.0,149,10,17,13,0.25,0.425,0.325,6.5183587541986325
