delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
0.0,214,5,32,3,0.125,0.8,0.075,5.138109418644339
0.0,216,2,32,6,0.05,0.8,0.15,3.714370183550308
0.0,218,7,32,1,0.175,0.8,0.025,3.649556784104516
0.0,222,14,23,3,0.35,0.575,0.075,3.535054421445389
0.0,219,7,27,6,0.175,0.675,0.15,3.3319647035071696
0.0,217,11,27,2,0.275,0.675,0.05,3.731727397008645
0.0,223,8,27,5,0.2,0.675,0.125,3.458693217909881
0.0,226,31,8,1,0.775,0.2,0.025,3.265751976821606
0.0,215,7,30,3,0.175,0.75,0.075,3.6178041710556115
0.0,221,5,32,3,0.125,0.8,0.075,4.143728785399833
0.0,224,2,32,6,0.05,0.8,0.15,3.505289096778165
0.0,225,4,33,3,0.1,0.825,0.075,4.171732863839796
0.0,227,10,30,0,0.25,0.75,0.0,3.3438890578278313
0.0,228,10,27,3,0.25,0.675,0.075,3.815414016906705
0.0,234,13,24,3,0.325,0.6,0.075,3.950763587799409
0.0,233,10,26,4,0.25,0.65,0.1,3.915230042049731
0.0,232,9,29,2,0.225,0.725,0.05,3.3846309573149043
0.0,229,7,29,4,0.175,0.725,0.1,3.368285772093556
0.0,231,4,31,5,0.1,0.775,0.125,4.452005820175266
0.0,230,9,27,4,0.225,0.675,0.1,4.038325223440722
0.0,239,10,24,6,0.25,0.6,0.15,2.836463104436846
0.0,235,6,33,1,0.15,0.825,0.025,3.6994734374750182
0.0,236,3,31,6,0.075,0.775,0.15,3.8470877127157848
0.0,237,7,28,5,0.175,0.7,0.125,3.85778890046008
0.0,238,6,29,5,0.15,0.725,0.125,3.1441847988587286
0.0,240,7,30,3,0.175,0.75,0.075,3.78014177054049
0.0,245,7,27,6,0.175,0.675,0.15,3.9599600355737237
0.0,246,8,30,2,0.2,0.75,0.05,3.59573459431006
0.0,241,4,33,3,0.1,0.825,0.075,3.5177735733213793
0.0,243,9,25,6,0.225,0.625,0.15,3.658672455247121
0.0,247,5,32,3,0.125,0.8,0.075,3.5693458814857726
0.0,244,2,35,3,0.05,0.875,0.075,3.4943788263024644
0.0,242,9,28,3,0.225,0.7,0.075,3.448028098413817
0.5,5,10,28,2,0.25,0.7,0.05,3.235946431987004
0.0,249,4,34,2,0.1,0.85,0.05,3.288375997866018
0.0,248,8,29,3,0.2,0.725,0.075,3.7909716494568313
0.5,0,4,29,7,0.1,0.725,0.175,3.648103009510698
0.5,1,7,33,0,0.175,0.825,0.0,3.3389208112571884
0.5,3,4,32,4,0.1,0.8,0.1,3.2960096240537524
0.5,8,6,31,3,0.15,0.775,0.075,3.2459374550087987
0.5,2,2,36,2,0.05,0.9,0.05,3.2022953303447714
0.5,12,27,12,1,0.675,0.3,0.025,3.114015391593943
0.5,4,10,28,2,0.25,0.7,0.05,3.5731633390193887
0.5,9,6,29,5,0.15,0.725,0.125,6.293157486059404
0.5,6,7,31,2,0.175,0.775,0.05,3.8546689819751605
0.5,7,12,25,3,0.3,0.625,0.075,3.281127881862596
0.5,10,6,31,3,0.15,0.775,0.075,3.078764229226363
0.5,14,7,30,3,0.175,0.75,0.075,3.2780134236908496
0.5,15,12,22,6,0.3,0.55,0.15,3.96206312420622
0.5,11,9,29,2,0.225,0.725,0.05,3.037322689789197
0.5,19,5,32,3,0.125,0.8,0.075,3.304804542497128
0.5,13,6,30,4,0.15,0.75,0.1,3.308876808668535
0.5,17,5,34,1,0.125,0.85,0.025,3.2623332388462627
0.5,16,5,32,3,0.125,0.8,0.075,4.039061591169092
0.5,18,8,31,1,0.2,0.775,0.025,3.2303068676665667
0.5,22,14,21,5,0.35,0.525,0.125,4.105543028009194
0.5,21,8,28,4,0.2,0.7,0.1,3.2289435016960937
0.5,26,9,29,2,0.225,0.725,0.05,3.349779812913359
0.5,20,11,25,4,0.275,0.625,0.1,3.9665234589963534
0.5,23,7,28,5,0.175,0.7,0.125,3.200103569191923
0.5,24,7,28,5,0.175,0.7,0.125,4.12236505026569
0.5,25,6,31,3,0.15,0.775,0.075,6.035183786552712
0.5,29,10,29,1,0.25,0.725,0.025,3.499385265536992
0.5,34,9,29,2,0.225,0.725,0.05,3.31932893163678
0.5,27,11,27,2,0.275,0.675,0.05,3.104377267599111
0.5,28,11,27,2,0.275,0.675,0.05,3.5665917577519926
0.5,30,4,33,3,0.1,0.825,0.075,3.279395921719005
0.5,31,5,32,3,0.125,0.8,0.075,4.832335487420012
0.5,33,3,34,3,0.075,0.85,0.075,3.4082170166000822
0.5,32,1,35,4,0.025,0.875,0.1,3.427555412589823
0.5,40,21,19,0,0.525,0.475,0.0,3.631889691595993
0.5,35,11,27,2,0.275,0.675,0.05,3.09994307931854
0.5,42,13,23,4,0.325,0.575,0.1,3.7222250021283614
0.5,41,4,32,4,0.1,0.8,0.1,3.5707576022177703
0.5,36,7,31,2,0.175,0.775,0.05,3.8534897136111965
0.5,37,8,25,7,0.2,0.625,0.175,3.845964031034203
0.5,39,2,35,3,0.05,0.875,0.075,4.269087624532895
0.5,38,5,34,1,0.125,0.85,0.025,5.614527505506842
0.5,46,8,25,7,0.2,0.625,0.175,3.4369545073063335
0.5,43,4,32,4,0.1,0.8,0.1,3.4247294640526293
0.5,48,7,29,4,0.175,0.725,0.1,3.440704285211045
0.5,45,7,29,4,0.175,0.725,0.1,3.6041654725605676
0.5,52,21,18,1,0.525,0.45,0.025,3.343507762588321
0.5,44,8,31,1,0.2,0.775,0.025,3.8687177685610292
0.5,51,8,30,2,0.2,0.75,0.05,4.10052743439426
0.5,47,7,30,3,0.175,0.75,0.075,3.8844629499195094
0.5,49,3,33,4,0.075,0.825,0.1,4.056922545443666
0.5,57,29,8,3,0.725,0.2,0.075,3.9024648135507576
0.5,54,7,29,4,0.175,0.725,0.1,5.695217380297035
0.5,50,4,33,3,0.1,0.825,0.075,4.066991135825465
0.5,55,6,29,5,0.15,0.725,0.125,4.088929416442218
0.5,53,7,32,1,0.175,0.8,0.025,3.699355808466124
0.5,59,13,24,3,0.325,0.6,0.075,3.8873960332423225
0.5,67,28,11,1,0.7,0.275,0.025,3.8731506761185583
0.5,60,11,27,2,0.275,0.675,0.05,3.046006626669715
0.5,56,7,32,1,0.175,0.8,0.025,3.5874802958620733
0.5,65,23,17,0,0.575,0.425,0.0,3.5612795817503953
0.5,63,4,29,7,0.1,0.725,0.175,3.5562392037649757
0.5,61,6,31,3,0.15,0.775,0.075,3.3745991527185177
0.5,62,5,35,0,0.125,0.875,0.0,3.41449113079801
0.5,58,5,31,4,0.125,0.775,0.1,3.760171282012533
0.5,66,7,31,2,0.175,0.775,0.05,3.124757156982465
0.5,64,5,34,1,0.125,0.85,0.025,4.075052708039241
0.5,69,8,28,4,0.2,0.7,0.1,3.517359068804166
0.5,73,7,29,4,0.175,0.725,0.1,3.5555535606470543
0.5,68,9,30,1,0.225,0.75,0.025,3.146492041486141
0.5,70,7,31,2,0.175,0.775,0.05,3.171966964620382
0.5,77,15,23,2,0.375,0.575,0.05,3.10939895220078
0.5,72,7,28,5,0.175,0.7,0.125,3.717591525793142
0.5,74,2,36,2,0.05,0.9,0.05,4.040932879955584
0.5,71,3,34,3,0.075,0.85,0.075,4.557944117287034
0.5,75,3,36,1,0.075,0.9,0.025,4.1667992986502345
0.5,76,7,31,2,0.175,0.775,0.05,3.387764452105556
0.5,78,7,30,3,0.175,0.75,0.075,3.8872741494247465
0.5,80,6,33,1,0.15,0.825,0.025,3.2835052812303664
0.5,79,11,28,1,0.275,0.7,0.025,3.2892067470246658
0.5,84,4,33,3,0.1,0.825,0.075,4.578908814107238
0.5,81,8,30,2,0.2,0.75,0.05,3.1090645272153887
0.5,83,15,21,4,0.375,0.525,0.1,3.557681459812835
