"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Class","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"may-g1",3,3,0,38.23364162,551.6705499,2.7416798,"Before","Schreck",32.35318046,1.50991698,8,0.241902634,5,0.003141593,-2.502850127,1.687299231,1.383746083
"may-g1",3,3,0,7.873924876,551.6705499,2.7416798,"Before","Schreck",41.93405252,1.622566835,15,0.188495559,12,0.163362818,-0.786846784,1.487164185,1.12605613
"may-g1",3,3,0,14.18325029,551.6705499,2.7416798,"Before","Schreck",38.83803445,1.589257243,13,0.069115038,16,0.009424778,-2.025728873,1.073626514,1.290316782
"may-g1",3,3,0,23.00001813,551.6705499,2.7416798,"Before","Schreck",40.15546946,1.603744708,14,0.188495559,9,0.006283185,-2.201820132,1.33238363,1.434635891
"may-g1",3,3,0,21.35829009,551.6705499,2.7416798,"Before","Schreck",32.63875118,1.513733534,9,0.241902634,7,0.009424778,-2.025728873,1.510910984,1.476118206
"may-g1",3,3,0,75.01696301,551.6705499,2.7416798,"Before","Schreck",13.16822758,1.119527323,3,0.493230047,2,0,-1000,0.63944026,1.768617978
"may-g1",3,3,0,29.50489037,551.6705499,2.7416798,"Before","Schreck",33.53112299,1.525448099,10,0,20,0,-1000,1.030613405,1.412596323
"may-g1",3,3,0,13.88855459,551.6705499,2.7416798,"Before","Schreck",37.6617175,1.575900121,11,0.040840704,22,0.006283185,-2.201820132,1.151726441,1.303590249
"may-g1",4,4,0,17.19079907,835.1035828,2.921740347,"Before","Schreck",34.61306424,1.539240048,8,0.128805299,11,0.028274334,-1.548607618,2.059971975,0.398268701
"may-g1",4,4,0,15.15317096,835.1035828,2.921740347,"Before","Schreck",32.08798889,1.506342499,6,0.091106187,8,0.021991149,-1.657752087,0.50572224,0.482798432
"may-g1",4,4,0,11.1290934,835.1035828,2.921740347,"Before","Schreck",43.69273928,1.640409273,16,0.072256631,10,0.05969026,-1.224096526,0.550892717,1.76664653
"may-g1",4,4,0,22.79413207,835.1035828,2.921740347,"Before","Schreck",33.65332321,1.527027957,7,0.116238928,6,0.025132741,-1.59976014,0.754682845,0.832558084
"may-g1",4,4,0,21.07441945,835.1035828,2.921740347,"Before","Schreck",14.96254285,1.175005407,1,0.336150414,3,0.072256631,-1.141122291,1.714318107,0.646718676
"may-g1",4,4,0,21.06106886,835.1035828,2.921740347,"Before","Schreck",25.8416525,1.412320282,3,0.078539816,19,0.006283185,-2.201820132,0.277049281,0.215648931
"may-g1",4,4,0,11.79159928,835.1035828,2.921740347,"Before","Schreck",49.19667981,1.691935794,23,0,26,0.05969026,-1.224096526,0.14115318,0.120678483
"may-g1",4,4,0,26.72639066,835.1035828,2.921740347,"Before","Schreck",35.14176446,1.545823564,9,0.043982297,20,0.05969026,-1.224096526,2.896130846,0.116930326
"may-g1",4,4,0,52.80183112,835.1035828,2.921740347,"Before","Schreck",18.87636446,1.275918354,2,0.223053078,6,0.069115038,-1.160427446,2.105543924,1.803983471
"may-g1",4,4,0,23.48174414,835.1035828,2.921740347,"Before","Schreck",43.4286423,1.637776252,14,0,18,0.053407075,-1.272401206,2.232559948,0.491354357
"may-g1",4,4,0,35.02294077,835.1035828,2.921740347,"Before","Schreck",41.93780247,1.62260567,13,0.087964594,13,0.028274334,-1.548607618,2.329668269,0.666735019
"may-g1",4,4,0,20.0534796,835.1035828,2.921740347,"Before","Schreck",26.49108658,1.423099772,4,0.037699112,25,0.025132741,-1.59976014,1.73023243,0.687690758
"may-g1",4,4,0,21.26324708,835.1035828,2.921740347,"Before","Schreck",45.15768389,1.654731659,18,0.031415927,20,0.081681409,-1.087876779,2.918351176,0.228060285
"may-g1",4,4,0,24.36102349,835.1035828,2.921740347,"Before","Schreck",43.91922561,1.642654674,17,0.078539816,10,0.037699112,-1.423668881,2.393402301,0.777117057
"may-g1",4,4,0,11.78681717,835.1035828,2.921740347,"Before","Schreck",45.71838268,1.660090859,22,0.050265482,20,0.04712389,-1.326758868,0.320476623,0.131834471
