"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"g1",6,6,0,13.36104215,418.615138,2.621814929,"Before",39.08151888,1.591971434,8,0,23,0.138230077,-0.859397451,0.523290875,2.214205777
"g1",6,6,0,23.48142145,418.615138,2.621814929,"Before",31.19110775,1.494030799,6,0.138230077,12,0.015707963,-1.803880123,0.601960176,2.367677659
"g1",6,6,0,12.54401285,418.615138,2.621814929,"Before",48.26621352,1.68364323,12,0,25,0.069115038,-1.160427446,0.495294834,2.359400849
"g1",7,7,0,17.96616879,437.3108951,2.640790297,"Before",44.04376659,1.643884452,6,0.113097336,4,0.015707963,-1.803880123,1.877365462,1.023076635
"g1",7,7,0,37.01546008,437.3108951,2.640790297,"Before",41.51777046,1.618234023,5,0.028274334,24,0.043982297,-1.356722092,1.110772017,0.96564243
"g1",7,7,0,7.890786395,437.3108951,2.640790297,"Before",8.981814915,0.953364101,2,0.449247749,2,0.031415927,-1.502850127,0.979333495,5.097675282
"g1",7,7,0,10.73871456,437.3108951,2.640790297,"Before",49.57237769,1.69523975,7,0.069115038,16,0.003141593,-2.502850127,0.215197111,3.589112629
"g1",7,7,0,28.94423505,437.3108951,2.640790297,"Before",34.83272121,1.541987404,4,0.069115038,7,0.034557519,-1.461457442,1.119740437,1.04687719
"g1",7,7,0,25.40359043,437.3108951,2.640790297,"Before",6.579976054,0.818224313,1,1.099557429,1,0.037699112,-1.423668881,0.754708936,0.941612383
"g1",7,7,0,56.07050979,437.3108951,2.640790297,"Before",15.29002802,1.184408281,3,0.157079633,3,0.053407075,-1.272401206,0.939248811,4.907435152
"g1",8,8,0,14.04521569,356.6619213,2.552256745,"Before",16.68589858,1.2223496,14,0.267035376,6,0.034557519,-1.461457442,1.80111193,0.667247658
"g1",8,8,0,28.98647287,356.6619213,2.552256745,"Before",18.03476085,1.256110388,16,0.326725636,4,0.012566371,-1.900790136,2.405226307,1.180169893
"g1",8,8,0,36.89086489,356.6619213,2.552256745,"Before",11.18628935,1.048686049,7,0.490088454,5,0.166504411,-0.778574258,0.443335289,2.034769648
"g1",8,8,0,31.08662825,356.6619213,2.552256745,"Before",18.47077042,1.26648501,18,0,25,0.09424778,-1.025728873,2.521368623,3.158183521
"g1",8,8,0,20.3624931,356.6619213,2.552256745,"Before",40.87741971,1.611483474,21,0.078539816,13,0.015707963,-1.803880123,0.203735302,2.365558656
"g1",8,8,0,12.7162656,356.6619213,2.552256745,"Before",17.14812092,1.234216537,15,0.389557489,2,0.091106187,-1.040452129,0.657076182,1.749450101
"g1",8,8,0,35.99588902,356.6619213,2.552256745,"Before",8.961287421,0.952370407,5,0.829380461,4,0.025132741,-1.59976014,2.083122036,2.705274267
"g1",8,8,0,24.68879206,356.6619213,2.552256745,"Before",14.97861275,1.175471593,10,0.062831853,13,0.257610598,-0.589036275,2.258525169,1.814529183
"g1",8,8,0,11.98897706,356.6619213,2.552256745,"Before",4.065122858,0.609073676,1,1.84725648,1,0.043982297,-1.356722092,0.471857607,3.25821671
"g1",8,8,0,9.447228281,356.6619213,2.552256745,"Before",13.63470854,1.134645859,8,0.128805299,17,0.009424778,-2.025728873,3.028380878,2.721032531
"g1",8,8,0,16.06143722,356.6619213,2.552256745,"Before",46.26106857,1.66521566,23,0.065973446,19,0.125663706,-0.900790136,2.477198777,0.9846268
"g1",8,8,0,10.34568111,356.6619213,2.552256745,"Before",7.866410734,0.895776619,4,1.058716724,2,0,-1000,1.590886924,1.811419248
"g1",8,8,0,15.04333655,356.6619213,2.552256745,"Before",18.56892626,1.268786792,19,0.424115008,6,0.009424778,-2.025728873,1.999007932,1.186556339
"g1",8,8,0,25.45406405,356.6619213,2.552256745,"Before",16.32427487,1.212833899,13,0.100530965,11,0.348716785,-0.457527149,1.631702228,2.785771816
"g1",8,8,0,16.74151849,356.6619213,2.552256745,"Before",15.59133572,1.192883323,12,0,7,0.301592895,-0.520578894,0.943259291,3.554287197
"g1",8,8,0,28.52163205,356.6619213,2.552256745,"Before",9.988926659,0.999518824,6,0,25,0.091106187,-1.040452129,1.060606078,1.273873473
"g1",8,8,0,16.74609219,356.6619213,2.552256745,"Before",4.331075399,0.636595744,2,0.333008821,6,0.04712389,-1.326758868,1.51907391,0.989140276
"g1",8,8,0,58.44808373,356.6619213,2.552256745,"Before",7.36168809,0.866977413,3,0.439822972,6,0.229336264,-0.639527267,0.096697389,2.290995512
"g1",8,8,0,18.47133901,356.6619213,2.552256745,"Before",40.36503148,1.606005296,20,0.037699112,24,0.062831853,-1.201820132,2.417234284,2.7132733
"g1",8,8,0,18.90575457,356.6619213,2.552256745,"Before",15.44170116,1.188695143,11,0.628318531,5,0.056548668,-1.247577622,1.217609144,2.3792512
"g1",8,8,0,13.71746302,356.6619213,2.552256745,"Before",14.65138611,1.165878714,9,0.618893753,5,0.009424778,-2.025728873,1.011867636,1.41350558
"g1",8,8,0,14.92628276,356.6619213,2.552256745,"Before",18.36983917,1.264105354,17,0.20106193,5,0.031415927,-1.502850127,1.615831983,2.681261958
"g1",8,8,0,8.758833196,356.6619213,2.552256745,"Before",40.99125498,1.612691215,22,0.062831853,19,0.015707963,-1.803880123,0.137400604,2.940664038
"g1",9,9,0,2.138108649,382.0581204,2.582129435,"Before",45.2135382,1.655268494,3,0.078539816,22,0,-1000,0.395947784,1.288086498
"g1",9,9,0,36.43092604,382.0581204,2.582129435,"Before",14.04816746,1.147619676,2,0.593761012,2,0.021991149,-1.657752087,2.058766721,0.858078579
"g1",9,9,0,31.60548532,382.0581204,2.582129435,"Before",10.60034421,1.025319968,1,0.537212344,2,0.021991149,-1.657752087,0.585176585,0.432079178
"g1",10,10,1,579.444161,465.74237,2.668145749,"Before",7.227959543,0.859015713,1,0.848230016,1,0.031415927,-1.502850127,1.171947797,1.936427581
"g1",10,10,0,30.05160091,465.74237,2.668145749,"Before",39.11890609,1.592386702,4,0.144513262,6,0,-1000,2.624579814,2.968565359
"g1",10,10,0,53.60623251,465.74237,2.668145749,"Before",42.06174299,1.623887265,5,0.10681415,12,0.031415927,-1.502850127,1.475955817,1.398886848
"g1",10,10,0,47.00905118,465.74237,2.668145749,"Before",18.75437484,1.273102592,2,0.157079633,2,0.015707963,-1.803880123,0.409057249,1.637913209
"g1",10,10,0,21.79373458,465.74237,2.668145749,"Before",47.82452206,1.679650639,6,0.091106187,15,0.021991149,-1.657752087,2.870191247,3.050903413
"g1",10,10,0,9.138754955,465.74237,2.668145749,"Before",27.50443076,1.439402661,3,0.2136283,2,0.050265482,-1.298730145,0.46602267,1.496114281
"g1",11,11,0,17.2051023,414.2324744,2.617244143,"Before",40.30984986,1.605411181,12,0.012566371,24,0.056548668,-1.247577622,2.62148903,0.004785886
"g1",11,11,0,12.63252516,414.2324744,2.617244143,"Before",34.29058842,1.535174938,9,0.128805299,16,0.015707963,-1.803880123,1.660023843,2.192261701
"g1",11,11,0,19.80520381,414.2324744,2.617244143,"Before",7.401551353,0.869322757,1,0.819955683,1,0,-1000,2.241092187,2.674545833
"g1",11,11,0,26.73234298,414.2324744,2.617244143,"Before",9.247759199,0.966036513,2,0.493230047,2,0.031415927,-1.502850127,0.242796609,5.498944716
"g1",11,11,0,2.10003906,414.2324744,2.617244143,"Before",45.976116,1.66253228,16,0.003141593,28,0.09424778,-1.025728873,1.466203165,1.749415787
"g1",11,11,0,50.91542971,414.2324744,2.617244143,"Before",19.95741953,1.300104387,4,0.273318561,6,0.031415927,-1.502850127,2.794302691,2.607224556
"g1",11,11,0,1.921721342,414.2324744,2.617244143,"Before",42.82022841,1.63164898,15,0.084823002,21,2.173982116,0.337255967,1.602669481,2.271136002
"g1",11,11,0,38.42003117,414.2324744,2.617244143,"Before",30.02039164,1.477416354,8,0.147654855,10,0.144513262,-0.840092296,2.620681736,0.049266975
"g1",11,11,0,9.296077619,414.2324744,2.617244143,"Before",41.40210267,1.617022398,13,0.175929189,10,0.053407075,-1.272401206,2.160718827,0.118914905
"g1",11,11,0,13.64422413,414.2324744,2.617244143,"Before",23.41702598,1.369531738,7,0.323584043,5,0.018849556,-1.724698877,1.627706583,5.02261736
"g1",11,11,0,27.06472732,414.2324744,2.617244143,"Before",42.63768392,1.629793606,14,0.040840704,20,0.09424778,-1.025728873,2.818543655,0.109921879
"g1",11,11,0,30.48542096,414.2324744,2.617244143,"Before",21.32603836,1.328910186,5,0.345575192,4,0.062831853,-1.201820132,1.496409763,1.046258629
"g1",11,11,0,10.23869847,414.2324744,2.617244143,"Before",39.6973359,1.598761362,11,0.131946891,13,0.043982297,-1.356722092,0.936773105,1.598524962
"g1",11,11,0,26.08005314,414.2324744,2.617244143,"Before",21.6350903,1.335158712,6,0.229336264,4,0.034557519,-1.461457442,2.854771996,3.525912584
"g1",11,11,0,14.83374752,414.2324744,2.617244143,"Before",46.62586191,1.668626873,17,0.10681415,14,0.037699112,-1.423668881,0.869139061,1.500074829
"g1",11,11,0,31.41582371,414.2324744,2.617244143,"Before",18.46669697,1.266389223,3,0.35499997,4,0.006283185,-2.201820132,1.176416717,0.818220259
"g1",11,11,0,1.351935632,414.2324744,2.617244143,"Before",39.40857928,1.595590778,10,0.175929189,14,0.05969026,-1.224096526,1.396917916,2.116325293
"g1",12,12,0,31.37507851,383.419443,2.583674132,"Before",18.55988888,1.268575372,3,0.273318561,3,0.018849556,-1.724698877,0.910625692,1.295972808
"g1",12,12,0,11.22775956,383.419443,2.583674132,"Before",27.97214339,1.446725746,4,0.141371669,5,0.015707963,-1.803880123,1.923522661,0.811122939
"g1",12,12,0,17.24012439,383.419443,2.583674132,"Before",43.53854176,1.638873879,6,0.056548668,18,0.028274334,-1.548607618,0.202758434,0.459865764
"g1",12,12,0,12.80822259,383.419443,2.583674132,"Before",7.768638831,0.890344931,1,0.951902574,2,0.018849556,-1.724698877,1.283763661,0.999703663
"g1",12,12,0,31.81975839,383.419443,2.583674132,"Before",35.5102276,1.550353456,5,0,24,0.009424778,-2.025728873,1.907514789,0.962040801
"g1",12,12,0,17.54868348,383.419443,2.583674132,"Before",48.88407687,1.689167418,7,0.069115038,14,0.097389372,-1.011488433,1.979743459,1.132137427
"g1",12,12,0,13.86808325,383.419443,2.583674132,"Before",11.12292143,1.04621887,2,0.562345085,3,0.012566371,-1.900790136,1.864490962,1.347713759
"g1",13,13,0,16.92711586,90.64744513,1.957355568,"Before",43.00609776,1.633530038,1,0.062831853,18,0,-1000,2.833522863,0.501790691
